    x     x 

    x     x 

    x     x 

    0     0 

    0     0 

    x     x 

16061     0 

 1637  4271 

  720 61215 

  719 64665 

62782  2246 

65284  2434 

  341  2911 

61839 63304 

 2710  4634 

 1071 63534 

62019 64548 

62815   620 

63015 65485 

  790   574 

 2059  3626 

  117  2570 

63615 65371 

 1026  2287 

64390 64882 

  752 63957 

  260  1398 

  359 61673 

61320   586 

  802   529 

65184   190 

63738 64755 

64677  1517 

62989 65209 

64924 64941 

61606  1829 

64797 65346 

  311   474 

  249  1781 

 2893 64547 

63806  2975 

 1819  5352 

  199  3660 

 2817 65411 

 1576 64994 

 1562 64567 

65246 64741 

63070   271 

  322 63669 

 2557 63333 

 1019   806 

63689 62382 

 1778 63203 

  992 64416 

64540  1662 

 2654  1491 

62504  2450 

64787 60233 

65056  2043 

62867   817 

  606 64926 

  274 64017 

64922 65440 

 2691  4859 

  166   369 

64808 61340 

63952  1879 

  680 64826 

  615   215 

64020   525 

63915   169 

 2496 62514 

 2936 64446 

  466   268 

63383 64001 

 1160 64365 

65201 64989 

63331  1928 

63822  2853 

  591  1676 

  805  1998 

 1274  2920 

  551 65216 

63814  4509 

64441  3480 

 3385 65379 

63678  1162 

63041  2042 

63998 60956 

65196  3422 

  764  1934 

63848  1500 

  335 64256 

61629 65387 

63300   114 

  231  2830 

63395   547 

65051  2399 

 1464   415 

64935 64717 

 2604 64942 

65456 63324 

65432   485 

 4720  4549 

64726 64691 

64224 65371 

65344 64674 

63833  3080 

 1063 63888 

65466 62292 

 1357 64684 

64878 63722 

 4199 65187 

64791 63058 

  189   719 

 4716  1636 

   57 63561 

65283  1576 

  328 62302 

62330 64175 

63569  1591 

 1524 64049 

65221 64896 

 1415 65479 

64805  2380 

63385  3744 

 3392 62387 

64808 63058 

63398   717 

 1116   635 

63773  1120 

64667    41 

64329  1278 

 2152  2581 

  784   258 

 1539  1344 

 3149  2257 

65094    36 

 3903 64380 

  406 65412 

63474   591 

65082 64229 

64919 63328 

  883 63252 

62559  1345 

64725  3582 

  887  5270 

  481  2323 

65512   479 

 2455 64170 

   68  2677 

 2281   401 

 3223  1417 

 5391   317 

64265 64879 

  988 64071 

   61 64963 

 1020  1293 

  122 62628 

63150   792 

61762 64964 

63258 64739 

64692 62222 

64549  4561 

 1380  5051 

64879  3120 

  567  3103 

 3011 64402 

65351  1988 

62606  1508 

 2465 63189 

 3657   123 

62077  2535 

 1691   915 

64702  1368 

62938 63952 

65129 65095 

63257   689 

63416 64811 

65060 65479 

64316   132 

63584 65297 

  901  2227 

64927  1268 

65125 63914 

 2869 64452 

63720 62611 

 2124  1491 

64264   600 

62104 63110 

 3040 61222 

 1596 65126 

61467 62499 

 2011 65002 

  283 64142 

 2909 64588 

  911  1478 

63938 63922 

64154  1600 

 1237  2112 

 5927 64627 

 1595 65051 

 1719 64365 

64287  1949 

 1250 65447 

  630  1044 

65163 64882 

62352 65277 

65086  4966 

 3936  1718 

65127 63706 

 1847 63105 

64493  3101 

61986 63012 

65453  2359 

63853 62616 

64248 63455 

64507 63334 

64288   473 

64499 64925 

65410  2121 

 1367  1389 

64839   461 

63761  1587 

64333 65327 

 2683   134 

 3533 64750 

 2882  2296 

  979 62311 

 2570  2038 

  995   210 

 1392 61759 

  789 62791 

 5290   925 

 3019 64620 

 6189   136 

63755  1211 

64462   135 

 1019  1886 

63395 62206 

 1243 63928 

  345 62869 

64782  1534 

  405 64439 

  882 65486 

62353  2457 

 1354 64587 

64034 63426 

  419   108 

  488 64194 

 1014  2159 

64651 64834 

 2185 62106 

 1597  1058 

 3235  1584 

 6310 58990 

 2072   258 

63097   728 

65153 62818 

64512   173 

 2019 63817 

65022 62289 

64008 62573 

65019   249 

  785 63293 

64987 65279 

  377 62590 

 3217 64578 

  484  2162 

 1774  1547 

 1921   758 

65261  2519 

65262  1016 

63945 63359 

 1906   170 

64922 64211 

 2305 65004 

64568   815 

 1285  2143 

62299 64380 

62968   519 

  262  1978 

63570  5861 

   30   542 

  679 64104 

 1500   433 

65031  4788 

  345   470 

  530 63708 

65186 63360 

61843  1684 

65088  1349 

 2981 64426 

65033   198 

64916   320 

65222 61009 

  178  2004 

  613  1976 

62443   939 

62222 65476 

 2284 64704 
